22302636,05/08/2018,107412558535                            ,017546,434905,00  ,1613.60         ,S  ,P  
22302636,05/08/2018,107412684589                            ,017768,441972,00  ,597.00          ,S  ,P  
22418350,05/08/2018,107412839530                            ,454592,T13859,00  ,737.00          ,S  ,P  
22418350,05/08/2018,107412848919                            ,454594,062403,00  ,399.00          ,S  ,P  
22302636,05/08/2018,107412685128                            ,017770,501328,00  ,50.00           ,S  ,P  
22418350,05/08/2018,107412849859                            ,454595,357925,00  ,399.00          ,S  ,P  
22302636,05/08/2018,107412685161                            ,017772,045914,00  ,524.00          ,S  ,P  
22302636,05/08/2018,107412685837                            ,017771,442085,00  ,2639.89         ,S  ,P  
22418350,05/08/2018,107412851142                            ,454596,070895,00  ,10.00           ,S  ,P  
22418350,05/08/2018,107412851306                            ,454597,122013,00  ,202.00          ,S  ,P  
22302636,05/08/2018,107412686860                            ,017773,022682,00  ,3914.00         ,S  ,P  
22418350,05/08/2018,107412854081                            ,454598,074298,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412686505                            ,017774,442174,00  ,12860.00        ,S  ,P  
22418350,05/08/2018,107412855070                            ,454599,857030,00  ,189.00          ,S  ,P  
22302636,05/08/2018,CCAFH2KVQ248                            ,567146,097697,00  ,298.00          ,S  ,P  
22418350,05/08/2018,107412855998                            ,454600,576287,00  ,200.00          ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ249                            ,567147,046266,00  ,800.00          ,S  ,P  
22418350,05/08/2018,107412857353                            ,454602,080036,00  ,399.00          ,S  ,P  
22302636,05/08/2018,107412687626                            ,017775,442321,00  ,550.00          ,S  ,P  
22302636,05/08/2018,107412690142                            ,017777,442616,00  ,1599.00         ,S  ,P  
22418350,05/08/2018,107412858306                            ,454603,000033,00  ,113.00          ,S  ,P  
22302636,05/08/2018,107412558676                            ,017547,034517,00  ,3865.00         ,S  ,P  
22418350,05/08/2018,107412586049                            ,454435,T60991,00  ,199.00          ,S  ,P  
22418350,05/08/2018,107412859746                            ,454604,003689,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412694311                            ,017783,442818,00  ,796.00          ,S  ,P  
22418350,05/08/2018,107412864289                            ,454605,093114,00  ,220.00          ,S  ,P  
22302636,05/08/2018,107412698267                            ,017785,026458,00  ,271.40          ,S  ,P  
22418350,05/08/2018,107412866545                            ,454606,027071,00  ,102.00          ,S  ,P  
22302636,05/08/2018,107412703003                            ,017790,503573,00  ,5081.08         ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ253                            ,567151,099062,00  ,1000.00         ,S  ,P  
22418350,05/08/2018,107412868118                            ,454607,039650,00  ,765.00          ,S  ,P  
22302636,05/08/2018,107412704171                            ,017794,503824,00  ,349.00          ,S  ,P  
22418350,05/08/2018,107412869386                            ,454608,002714,00  ,320.00          ,S  ,P  
22418350,05/08/2018,107412869866                            ,454609,000000,57  ,200.00          ,N  ,P  
22302636,05/08/2018,107412704540                            ,017792,028681,00  ,13119.00        ,S  ,P  
22302636,05/08/2018,107412706067                            ,017796,048411,00  ,7340.25         ,S  ,P  
22418350,05/08/2018,107412871077                            ,454610,000000,57  ,200.00          ,N  ,P  
22418350,05/08/2018,107412873124                            ,454611,058818,00  ,28.00           ,S  ,P  
22302636,05/08/2018,107412705625                            ,017798,504199,00  ,2988.00         ,S  ,P  
22302636,05/08/2018,107412709241                            ,017800,030029,00  ,559.90          ,S  ,P  
22418350,05/08/2018,107412873007                            ,454612,067856,00  ,150.00          ,S  ,P  
22418350,05/08/2018,107412876895                            ,454613,072893,00  ,148.00          ,S  ,P  
22302636,05/08/2018,107412710896                            ,017805,030878,00  ,11729.00        ,S  ,P  
22418350,05/08/2018,107412588160                            ,454438,T61344,00  ,451.00          ,S  ,P  
22302636,05/08/2018,107412558768                            ,017548,490403,00  ,710.00          ,S  ,P  
22418350,05/08/2018,107412876881                            ,454614,017969,00  ,448.00          ,S  ,P  
22302636,05/08/2018,107412710779                            ,017806,504681,00  ,149.00          ,S  ,P  
22418350,05/08/2018,107412877367                            ,454615,079288,00  ,52.00           ,S  ,P  
22302636,05/08/2018,107412711641                            ,017807,099767,00  ,200.00          ,S  ,P  
22418350,05/08/2018,107412888407                            ,454617,022117,00  ,150.00          ,S  ,P  
22302636,05/08/2018,107412713813                            ,017816,099932,00  ,230.00          ,S  ,P  
22418350,05/08/2018,107412888040                            ,454616,041490,00  ,292.00          ,S  ,P  
22302636,05/08/2018,107412712890                            ,017812,444503,00  ,1188.00         ,S  ,P  
22418350,05/08/2018,107412890297                            ,454618,022985,00  ,120.00          ,S  ,P  
22302636,05/08/2018,107412714875                            ,017817,104304,00  ,700.00          ,S  ,P  
22418350,05/08/2018,107412890832                            ,454619,399071,00  ,100.00          ,S  ,P  
22302636,05/08/2018,107412715409                            ,017820,031971,00  ,504.45          ,S  ,P  
22418350,05/08/2018,107412893963                            ,454621,060709,00  ,30.00           ,S  ,P  
22302636,05/08/2018,107412713567                            ,017815,444590,00  ,512.00          ,S  ,P  
22418350,05/08/2018,107412894452                            ,454622,049315,00  ,600.00          ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ258                            ,567156,100067,00  ,2545.00         ,S  ,P  
22302636,05/08/2018,107412714015                            ,017814,100075,00  ,243.00          ,S  ,P  
22418350,05/08/2018,107412894810                            ,454623,496728,00  ,199.00          ,S  ,P  
22302636,05/08/2018,107412716358                            ,017824,505242,00  ,1111.00         ,S  ,P  
22418350,05/08/2018,107412903144                            ,454627,076678,00  ,500.00          ,S  ,P  
22418350,05/08/2018,107412588144                            ,454439,005438,00  ,170.00          ,S  ,P  
22302636,05/08/2018,107412559914                            ,017549,993245,00  ,2200.89         ,S  ,P  
22418350,05/08/2018,107412902651                            ,454626,097250,00  ,135.00          ,S  ,P  
22302636,05/08/2018,107412716476                            ,017825,505272,00  ,8017.28         ,S  ,P  
22302636,05/08/2018,107412716167                            ,017823,032472,00  ,1535.56         ,S  ,P  
22418350,05/08/2018,107412906128                            ,454628,007152,00  ,149.00          ,S  ,P  
22418350,05/08/2018,107412915320                            ,454631,013245,00  ,50.00           ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ259                            ,567157,032931,00  ,200.00          ,S  ,P  
22418350,05/08/2018,107412915231                            ,454632,031515,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412719560                            ,017827,049998,00  ,3169.00         ,S  ,P  
22302636,05/08/2018,107412719619                            ,017828,638056,00  ,153.00          ,S  ,P  
22418350,05/08/2018,107412916517                            ,454633,015522,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412720407                            ,017829,033764,00  ,945.00          ,S  ,P  
22418350,05/08/2018,107412918453                            ,454634,020726,00  ,61.00           ,S  ,P  
22302636,05/08/2018,107412720938                            ,017831,050176,00  ,296.00          ,S  ,P  
22418350,05/08/2018,107412919192                            ,454636,833289,00  ,20.00           ,S  ,P  
